ID,parents,has_nurs,form,children,housing,finance,social,health,app_status
101,pretentious,improper,completed,more,convenient,convenient,nonprob,not_recom,0
102,usual,very_crit,incomplete,2,critical,inconv,slightly_prob,priority,0
103,usual,less_proper,foster,more,less_conv,inconv,slightly_prob,priority,1
104,usual,proper,incomplete,2,convenient,inconv,slightly_prob,not_recom,0
105,great_pret,critical,foster,2,critical,inconv,nonprob,recommended,0
106,pretentious,improper,incomplete,more,convenient,inconv,slightly_prob,recommended,1
107,usual,proper,incomplete,2,critical,inconv,slightly_prob,priority,1
108,great_pret,critical,completed,1,less_conv,inconv,nonprob,not_recom,0
109,pretentious,improper,foster,more,less_conv,convenient,slightly_prob,priority,0
110,pretentious,critical,incomplete,more,convenient,convenient,nonprob,recommended,1
111,pretentious,critical,incomplete,more,convenient,convenient,problematic,priority,0
112,usual,very_crit,completed,2,less_conv,convenient,nonprob,not_recom,0
113,pretentious,proper,foster,more,less_conv,inconv,slightly_prob,not_recom,0
114,usual,proper,complete,1,less_conv,inconv,nonprob,priority,1
115,great_pret,critical,incomplete,more,less_conv,inconv,nonprob,recommended,0
116,usual,improper,complete,more,critical,inconv,problematic,recommended,1
117,pretentious,proper,incomplete,more,less_conv,convenient,nonprob,priority,1
118,usual,improper,complete,2,critical,convenient,nonprob,priority,1
119,usual,improper,incomplete,3,convenient,inconv,slightly_prob,recommended,1
120,great_pret,less_proper,complete,1,convenient,convenient,slightly_prob,priority,1
121,usual,improper,completed,1,less_conv,convenient,slightly_prob,recommended,1
122,pretentious,very_crit,foster,3,less_conv,inconv,nonprob,priority,0
123,great_pret,improper,completed,2,critical,inconv,problematic,priority,0
124,usual,very_crit,foster,2,less_conv,convenient,slightly_prob,not_recom,0
125,pretentious,less_proper,completed,more,critical,convenient,slightly_prob,priority,1
126,pretentious,less_proper,incomplete,3,convenient,inconv,problematic,not_recom,0
127,pretentious,very_crit,foster,3,convenient,inconv,slightly_prob,not_recom,0
128,pretentious,less_proper,foster,2,critical,inconv,problematic,priority,1
129,pretentious,critical,complete,1,critical,convenient,problematic,priority,0
130,great_pret,proper,incomplete,more,less_conv,inconv,slightly_prob,recommended,1
131,pretentious,very_crit,foster,3,less_conv,convenient,nonprob,not_recom,0
132,great_pret,less_proper,complete,1,less_conv,inconv,nonprob,recommended,1
133,great_pret,proper,foster,more,convenient,convenient,problematic,priority,1
134,pretentious,improper,foster,more,critical,convenient,problematic,priority,0
135,great_pret,less_proper,incomplete,2,critical,convenient,problematic,recommended,0
136,usual,critical,completed,2,convenient,convenient,slightly_prob,recommended,1
137,great_pret,very_crit,incomplete,1,convenient,convenient,problematic,recommended,0
138,great_pret,proper,completed,2,less_conv,inconv,slightly_prob,not_recom,0
139,usual,proper,completed,1,convenient,convenient,nonprob,not_recom,0
140,pretentious,very_crit,incomplete,3,convenient,inconv,nonprob,priority,0
141,great_pret,very_crit,completed,2,less_conv,inconv,slightly_prob,not_recom,0
142,usual,proper,incomplete,2,critical,inconv,nonprob,recommended,1
143,great_pret,very_crit,incomplete,more,convenient,convenient,slightly_prob,not_recom,0
144,usual,critical,incomplete,2,critical,convenient,problematic,not_recom,0
145,great_pret,proper,incomplete,1,less_conv,inconv,slightly_prob,priority,1
146,pretentious,improper,incomplete,3,less_conv,convenient,slightly_prob,priority,0
147,great_pret,critical,completed,more,convenient,inconv,nonprob,recommended,0
148,usual,improper,incomplete,1,convenient,inconv,problematic,not_recom,0
149,pretentious,less_proper,foster,2,critical,inconv,slightly_prob,priority,1
150,pretentious,critical,completed,2,critical,inconv,slightly_prob,not_recom,0
151,pretentious,less_proper,foster,2,critical,inconv,nonprob,recommended,1
152,pretentious,proper,complete,3,less_conv,convenient,problematic,not_recom,0
153,usual,improper,completed,more,critical,inconv,nonprob,priority,1
154,usual,less_proper,completed,2,convenient,inconv,slightly_prob,priority,1
155,usual,less_proper,completed,1,less_conv,convenient,nonprob,not_recom,0
156,usual,less_proper,completed,3,critical,inconv,problematic,not_recom,0
157,great_pret,critical,incomplete,more,critical,inconv,nonprob,not_recom,0
158,usual,less_proper,completed,3,less_conv,inconv,nonprob,not_recom,0
159,usual,very_crit,foster,1,convenient,inconv,nonprob,priority,0
160,pretentious,very_crit,foster,1,critical,convenient,slightly_prob,priority,0
161,usual,proper,completed,more,critical,convenient,slightly_prob,recommended,1
162,pretentious,improper,incomplete,2,less_conv,inconv,nonprob,priority,0
163,usual,less_proper,complete,1,convenient,convenient,nonprob,not_recom,0
164,pretentious,proper,complete,more,convenient,inconv,problematic,priority,1
165,usual,very_crit,completed,3,critical,convenient,slightly_prob,priority,0
166,great_pret,less_proper,completed,2,less_conv,inconv,nonprob,priority,1
167,pretentious,less_proper,foster,2,convenient,inconv,nonprob,priority,1
168,usual,proper,foster,more,convenient,convenient,problematic,priority,1
169,great_pret,improper,incomplete,1,critical,convenient,problematic,priority,0
170,pretentious,proper,completed,more,less_conv,inconv,slightly_prob,priority,1
171,usual,proper,foster,1,convenient,inconv,problematic,recommended,1
172,great_pret,critical,complete,more,convenient,convenient,problematic,priority,0
173,usual,proper,foster,2,convenient,inconv,problematic,priority,1
174,usual,proper,incomplete,2,convenient,inconv,slightly_prob,priority,1
175,usual,critical,incomplete,1,less_conv,convenient,nonprob,not_recom,0
176,great_pret,improper,incomplete,more,critical,convenient,nonprob,not_recom,0
177,pretentious,improper,foster,3,convenient,inconv,nonprob,not_recom,0
178,pretentious,improper,completed,3,convenient,convenient,nonprob,recommended,1
179,pretentious,very_crit,foster,more,less_conv,inconv,nonprob,priority,0
180,pretentious,very_crit,completed,more,convenient,convenient,slightly_prob,priority,0
181,pretentious,very_crit,foster,more,less_conv,convenient,problematic,not_recom,0
182,great_pret,proper,incomplete,3,convenient,convenient,nonprob,recommended,1
183,great_pret,very_crit,completed,3,convenient,convenient,problematic,priority,0
184,great_pret,very_crit,completed,2,critical,inconv,nonprob,not_recom,0
185,usual,very_crit,complete,3,less_conv,inconv,problematic,recommended,0
186,great_pret,critical,incomplete,2,critical,inconv,problematic,not_recom,0
187,usual,very_crit,completed,1,less_conv,inconv,nonprob,recommended,1
188,pretentious,proper,foster,more,convenient,convenient,slightly_prob,not_recom,0
189,great_pret,improper,complete,3,less_conv,inconv,problematic,priority,0
190,great_pret,proper,foster,2,convenient,convenient,slightly_prob,recommended,1
191,great_pret,improper,incomplete,1,convenient,inconv,problematic,priority,0
192,great_pret,critical,incomplete,1,critical,inconv,slightly_prob,not_recom,0
193,great_pret,proper,complete,2,convenient,convenient,nonprob,priority,1
194,great_pret,very_crit,incomplete,3,convenient,inconv,nonprob,recommended,0
195,usual,proper,foster,3,less_conv,inconv,nonprob,priority,1
196,great_pret,critical,foster,2,critical,inconv,problematic,not_recom,0
197,pretentious,improper,foster,2,critical,convenient,nonprob,not_recom,0
198,pretentious,critical,completed,1,convenient,convenient,nonprob,not_recom,0
199,pretentious,very_crit,completed,2,convenient,convenient,problematic,recommended,0
200,great_pret,very_crit,complete,1,convenient,convenient,problematic,priority,1
201,usual,less_proper,foster,2,convenient,convenient,slightly_prob,not_recom,0
202,pretentious,proper,complete,2,less_conv,convenient,problematic,not_recom,0
203,usual,improper,complete,2,critical,inconv,slightly_prob,not_recom,0
204,usual,improper,foster,2,less_conv,inconv,slightly_prob,recommended,1
205,great_pret,improper,incomplete,1,convenient,inconv,problematic,recommended,0
206,usual,very_crit,foster,3,convenient,inconv,slightly_prob,recommended,0
207,usual,proper,completed,2,critical,convenient,nonprob,not_recom,0
208,pretentious,very_crit,complete,3,convenient,convenient,problematic,priority,0
209,great_pret,improper,foster,2,critical,convenient,problematic,priority,0
210,usual,very_crit,incomplete,more,less_conv,inconv,nonprob,recommended,0
211,pretentious,critical,completed,1,convenient,inconv,problematic,not_recom,0
212,pretentious,very_crit,foster,more,critical,inconv,nonprob,priority,0
213,great_pret,improper,foster,2,less_conv,convenient,problematic,priority,0
214,usual,critical,incomplete,more,convenient,convenient,nonprob,not_recom,0
215,great_pret,very_crit,incomplete,2,convenient,inconv,slightly_prob,not_recom,0
216,usual,proper,incomplete,1,critical,convenient,nonprob,priority,1
217,great_pret,critical,incomplete,more,critical,inconv,problematic,recommended,0
218,usual,less_proper,incomplete,2,convenient,inconv,nonprob,recommended,1
219,usual,improper,complete,2,critical,convenient,slightly_prob,recommended,1
220,usual,improper,complete,2,convenient,convenient,problematic,priority,1
221,pretentious,very_crit,foster,3,convenient,convenient,problematic,not_recom,0
222,pretentious,very_crit,completed,2,less_conv,convenient,nonprob,priority,0
223,usual,critical,incomplete,3,convenient,inconv,nonprob,not_recom,0
224,great_pret,proper,incomplete,1,convenient,inconv,slightly_prob,priority,1
225,pretentious,proper,completed,3,critical,convenient,slightly_prob,not_recom,0
226,great_pret,less_proper,incomplete,more,critical,inconv,slightly_prob,priority,0
227,great_pret,proper,complete,1,less_conv,convenient,problematic,priority,1
228,great_pret,very_crit,foster,1,less_conv,inconv,problematic,not_recom,0
229,pretentious,proper,foster,2,less_conv,convenient,problematic,priority,1
230,usual,proper,incomplete,1,less_conv,convenient,slightly_prob,priority,1
231,great_pret,critical,foster,1,convenient,inconv,nonprob,not_recom,0
232,pretentious,improper,incomplete,1,less_conv,convenient,nonprob,priority,1
233,pretentious,very_crit,complete,1,convenient,inconv,problematic,priority,0
234,usual,critical,foster,2,convenient,inconv,nonprob,not_recom,0
235,great_pret,critical,incomplete,2,less_conv,inconv,nonprob,not_recom,0
236,great_pret,critical,complete,3,critical,convenient,problematic,not_recom,0
237,pretentious,improper,complete,more,convenient,convenient,problematic,recommended,1
238,pretentious,very_crit,completed,more,critical,inconv,problematic,priority,0
239,great_pret,critical,completed,3,convenient,convenient,nonprob,priority,0
240,usual,very_crit,foster,1,critical,inconv,problematic,not_recom,0
241,pretentious,proper,complete,more,convenient,convenient,slightly_prob,recommended,1
242,great_pret,less_proper,completed,3,less_conv,inconv,slightly_prob,priority,0
243,great_pret,proper,incomplete,more,convenient,inconv,problematic,priority,0
244,great_pret,very_crit,incomplete,3,less_conv,inconv,slightly_prob,not_recom,0
245,pretentious,less_proper,foster,3,critical,inconv,nonprob,priority,1
246,great_pret,very_crit,foster,more,less_conv,inconv,problematic,not_recom,0
247,pretentious,less_proper,completed,1,critical,inconv,nonprob,priority,1
248,pretentious,improper,foster,3,convenient,convenient,slightly_prob,priority,1
249,pretentious,very_crit,completed,more,less_conv,convenient,nonprob,priority,0
250,great_pret,improper,completed,more,critical,convenient,problematic,recommended,0
251,usual,very_crit,incomplete,more,critical,inconv,nonprob,recommended,0
252,great_pret,less_proper,foster,1,critical,inconv,problematic,recommended,0
253,pretentious,improper,foster,more,less_conv,inconv,nonprob,priority,0
254,usual,very_crit,incomplete,more,less_conv,inconv,problematic,recommended,0
255,usual,improper,completed,more,convenient,convenient,slightly_prob,recommended,1
256,usual,less_proper,completed,2,critical,convenient,nonprob,priority,1
257,usual,proper,foster,3,critical,convenient,slightly_prob,priority,1
258,great_pret,very_crit,foster,more,convenient,convenient,slightly_prob,not_recom,0
259,great_pret,less_proper,completed,2,convenient,inconv,slightly_prob,priority,1
260,usual,very_crit,incomplete,more,less_conv,convenient,slightly_prob,recommended,0
261,pretentious,proper,foster,2,less_conv,inconv,problematic,priority,1
262,pretentious,critical,incomplete,2,critical,inconv,problematic,not_recom,0
263,great_pret,very_crit,incomplete,2,critical,convenient,slightly_prob,recommended,0
264,great_pret,less_proper,foster,3,convenient,inconv,nonprob,priority,0
265,pretentious,less_proper,complete,more,critical,convenient,slightly_prob,not_recom,0
266,great_pret,critical,completed,3,convenient,convenient,problematic,priority,0
267,usual,critical,complete,more,convenient,convenient,problematic,priority,1
268,great_pret,proper,complete,3,critical,inconv,problematic,not_recom,0
269,great_pret,critical,completed,2,critical,convenient,problematic,priority,0
270,usual,less_proper,completed,more,less_conv,convenient,slightly_prob,priority,1
271,great_pret,critical,complete,1,less_conv,inconv,nonprob,recommended,1
272,pretentious,very_crit,complete,1,less_conv,inconv,problematic,not_recom,0
273,great_pret,very_crit,foster,2,critical,convenient,nonprob,not_recom,0
274,usual,improper,incomplete,2,critical,inconv,slightly_prob,not_recom,0
275,great_pret,improper,foster,1,convenient,inconv,problematic,recommended,0
276,usual,improper,completed,more,critical,inconv,slightly_prob,priority,1
277,pretentious,improper,completed,3,critical,convenient,problematic,recommended,0
278,pretentious,less_proper,complete,more,critical,convenient,problematic,priority,1
279,great_pret,very_crit,foster,2,less_conv,convenient,problematic,recommended,0
280,pretentious,critical,completed,1,less_conv,convenient,slightly_prob,priority,0
281,pretentious,less_proper,completed,2,convenient,convenient,slightly_prob,recommended,1
282,pretentious,less_proper,incomplete,3,convenient,convenient,slightly_prob,priority,1
283,usual,improper,complete,1,less_conv,inconv,slightly_prob,priority,1
284,pretentious,less_proper,incomplete,2,less_conv,inconv,problematic,recommended,1
285,pretentious,less_proper,incomplete,2,convenient,inconv,slightly_prob,not_recom,0
286,pretentious,proper,completed,3,less_conv,convenient,nonprob,priority,1
287,great_pret,very_crit,complete,3,critical,inconv,nonprob,priority,0
288,usual,very_crit,incomplete,more,less_conv,convenient,problematic,recommended,0
289,great_pret,critical,incomplete,1,less_conv,inconv,problematic,recommended,0
290,great_pret,improper,foster,3,less_conv,inconv,slightly_prob,priority,0
291,pretentious,less_proper,completed,2,less_conv,convenient,nonprob,priority,1
292,pretentious,critical,incomplete,more,less_conv,convenient,nonprob,recommended,0
293,great_pret,critical,completed,more,convenient,convenient,nonprob,not_recom,0
294,great_pret,critical,incomplete,3,convenient,convenient,slightly_prob,not_recom,0
295,usual,very_crit,foster,2,critical,inconv,problematic,not_recom,0
296,great_pret,less_proper,foster,2,less_conv,inconv,nonprob,priority,0
297,usual,critical,incomplete,1,critical,inconv,nonprob,recommended,1
298,pretentious,less_proper,complete,more,convenient,convenient,problematic,recommended,1
299,pretentious,critical,incomplete,2,critical,convenient,slightly_prob,priority,0
300,great_pret,less_proper,complete,3,critical,convenient,problematic,recommended,0
301,great_pret,proper,foster,3,convenient,inconv,problematic,priority,0
302,great_pret,critical,completed,1,less_conv,inconv,problematic,not_recom,0
303,usual,proper,incomplete,1,less_conv,inconv,nonprob,not_recom,0
304,great_pret,less_proper,incomplete,more,critical,inconv,slightly_prob,not_recom,0
305,pretentious,improper,completed,more,convenient,inconv,problematic,priority,0
306,great_pret,improper,complete,2,critical,inconv,problematic,priority,0
307,usual,very_crit,incomplete,3,critical,inconv,problematic,priority,0
308,pretentious,improper,incomplete,more,convenient,inconv,slightly_prob,not_recom,0
309,great_pret,less_proper,complete,more,less_conv,convenient,slightly_prob,not_recom,0
310,great_pret,improper,complete,1,critical,convenient,problematic,not_recom,0
311,great_pret,very_crit,complete,1,less_conv,inconv,slightly_prob,not_recom,0
312,great_pret,very_crit,incomplete,3,convenient,inconv,problematic,recommended,0
313,pretentious,very_crit,complete,3,convenient,convenient,slightly_prob,recommended,1
314,usual,improper,completed,2,less_conv,inconv,problematic,priority,1
315,usual,proper,foster,2,less_conv,inconv,nonprob,priority,1
316,great_pret,very_crit,completed,3,critical,inconv,problematic,priority,0
317,pretentious,critical,complete,3,less_conv,convenient,nonprob,recommended,0
318,usual,critical,completed,1,convenient,convenient,slightly_prob,priority,1
319,usual,very_crit,completed,3,less_conv,convenient,problematic,recommended,0
320,pretentious,proper,incomplete,1,less_conv,convenient,nonprob,recommended,1
321,great_pret,very_crit,complete,1,convenient,inconv,nonprob,recommended,1
322,usual,less_proper,complete,2,critical,inconv,nonprob,not_recom,0
323,great_pret,improper,completed,2,critical,inconv,nonprob,recommended,0
324,great_pret,proper,foster,2,critical,convenient,slightly_prob,priority,0
325,pretentious,improper,complete,3,critical,convenient,nonprob,recommended,1
326,great_pret,less_proper,foster,2,convenient,convenient,nonprob,not_recom,0
327,pretentious,less_proper,completed,more,less_conv,inconv,nonprob,priority,1
328,great_pret,critical,foster,2,less_conv,inconv,slightly_prob,priority,0
329,pretentious,less_proper,incomplete,more,convenient,inconv,slightly_prob,not_recom,0
330,pretentious,very_crit,foster,2,convenient,convenient,slightly_prob,priority,0
331,great_pret,very_crit,complete,2,less_conv,convenient,nonprob,not_recom,0
332,pretentious,proper,completed,more,critical,inconv,slightly_prob,not_recom,0
333,pretentious,very_crit,foster,1,convenient,inconv,slightly_prob,not_recom,0
334,usual,improper,foster,2,critical,inconv,problematic,recommended,1
335,pretentious,improper,foster,more,less_conv,convenient,problematic,not_recom,0
336,usual,critical,foster,3,critical,convenient,slightly_prob,recommended,1
337,usual,critical,foster,more,convenient,inconv,problematic,recommended,0
338,great_pret,improper,foster,3,critical,inconv,problematic,recommended,0
339,usual,critical,complete,3,less_conv,convenient,slightly_prob,recommended,1
340,usual,critical,completed,2,less_conv,convenient,slightly_prob,recommended,1
341,usual,proper,complete,2,convenient,convenient,nonprob,priority,1
342,pretentious,critical,completed,2,convenient,inconv,nonprob,priority,0
343,usual,less_proper,complete,2,convenient,inconv,problematic,recommended,1
344,great_pret,critical,complete,3,convenient,convenient,slightly_prob,priority,0
345,pretentious,critical,foster,2,less_conv,convenient,problematic,priority,0
346,pretentious,very_crit,completed,3,convenient,convenient,problematic,not_recom,0
347,pretentious,proper,completed,1,critical,inconv,problematic,not_recom,0
348,pretentious,very_crit,complete,2,critical,inconv,problematic,priority,0
349,great_pret,improper,foster,3,less_conv,inconv,problematic,recommended,0
350,usual,very_crit,complete,2,critical,convenient,slightly_prob,not_recom,0
351,great_pret,less_proper,foster,more,less_conv,inconv,nonprob,not_recom,0
352,pretentious,proper,foster,3,critical,inconv,nonprob,priority,1
353,pretentious,improper,foster,2,critical,inconv,problematic,priority,0
354,usual,very_crit,foster,3,critical,convenient,problematic,not_recom,0
355,great_pret,improper,completed,1,critical,convenient,slightly_prob,recommended,0
356,usual,proper,complete,3,less_conv,convenient,nonprob,recommended,1
357,great_pret,very_crit,incomplete,1,less_conv,convenient,nonprob,priority,0
358,usual,proper,foster,2,convenient,inconv,slightly_prob,not_recom,0
359,great_pret,very_crit,completed,1,less_conv,inconv,problematic,not_recom,0
360,great_pret,improper,completed,2,critical,inconv,slightly_prob,priority,0
361,great_pret,very_crit,completed,3,critical,inconv,slightly_prob,recommended,0
362,great_pret,less_proper,complete,3,less_conv,inconv,slightly_prob,priority,0
363,pretentious,critical,foster,3,critical,inconv,nonprob,priority,0
364,pretentious,critical,incomplete,2,critical,inconv,slightly_prob,recommended,0
365,great_pret,very_crit,complete,2,critical,convenient,nonprob,not_recom,0
366,great_pret,very_crit,incomplete,1,critical,inconv,slightly_prob,not_recom,0
367,usual,proper,foster,1,less_conv,inconv,nonprob,recommended,1
368,great_pret,less_proper,foster,1,less_conv,inconv,slightly_prob,not_recom,0
369,great_pret,very_crit,foster,more,convenient,inconv,nonprob,not_recom,0
370,pretentious,less_proper,incomplete,more,convenient,inconv,problematic,priority,1
371,usual,proper,complete,3,critical,convenient,slightly_prob,recommended,1
372,great_pret,very_crit,completed,3,convenient,inconv,problematic,not_recom,0
373,usual,proper,complete,3,convenient,inconv,slightly_prob,recommended,1
374,pretentious,very_crit,incomplete,3,critical,convenient,problematic,not_recom,0
375,great_pret,proper,complete,3,critical,convenient,slightly_prob,not_recom,0
376,usual,less_proper,incomplete,more,less_conv,inconv,slightly_prob,not_recom,0
377,great_pret,very_crit,completed,2,less_conv,inconv,nonprob,not_recom,0
378,usual,critical,completed,1,convenient,convenient,problematic,recommended,1
379,great_pret,improper,completed,more,less_conv,convenient,slightly_prob,not_recom,0
380,great_pret,less_proper,completed,1,critical,inconv,problematic,recommended,0
381,great_pret,critical,foster,more,less_conv,convenient,nonprob,recommended,0
382,usual,less_proper,completed,1,less_conv,inconv,problematic,priority,1
383,pretentious,improper,completed,1,critical,convenient,problematic,priority,0
384,usual,very_crit,complete,3,critical,inconv,problematic,recommended,0
385,usual,very_crit,complete,2,critical,convenient,slightly_prob,priority,0
386,great_pret,very_crit,completed,1,less_conv,convenient,problematic,not_recom,0
387,great_pret,less_proper,foster,more,critical,convenient,problematic,not_recom,0
388,great_pret,improper,completed,3,convenient,inconv,slightly_prob,recommended,0
389,great_pret,less_proper,incomplete,1,critical,convenient,nonprob,not_recom,0
390,pretentious,improper,incomplete,1,critical,convenient,problematic,not_recom,0
391,usual,proper,incomplete,1,convenient,convenient,slightly_prob,recommended,1
392,usual,improper,completed,more,less_conv,inconv,slightly_prob,recommended,1
393,pretentious,very_crit,completed,3,critical,convenient,nonprob,recommended,0
394,usual,proper,incomplete,2,critical,inconv,nonprob,priority,1
395,great_pret,very_crit,complete,more,less_conv,convenient,problematic,priority,0
396,great_pret,less_proper,complete,2,convenient,inconv,slightly_prob,not_recom,0
397,usual,critical,complete,3,critical,inconv,problematic,recommended,0
